Metric,Category,Sub-Category,One-line meaning,What this sub-category covers,Example
DAU,E-commerce,User Traffic,Daily active users visiting app,Top-of-funnel user inflow and browsing behavior,120k users opened app today
MAU,E-commerce,User Traffic,Monthly active users,Top-of-funnel user inflow and browsing behavior,1.2M users active this month
New users,E-commerce,User Traffic,First-time visitors or buyers,Top-of-funnel user inflow and browsing behavior,25k new users this week
Returning users,E-commerce,User Traffic,Existing users coming back,Top-of-funnel user inflow and browsing behavior,60% traffic is returning
Session duration,E-commerce,User Traffic,Avg time per session,Top-of-funnel user inflow and browsing behavior,6.5 mins per session
Bounce rate,E-commerce,User Traffic,% users leaving after 1 page,Top-of-funnel user inflow and browsing behavior,40% users exit on homepage
Pages/session,E-commerce,User Traffic,Depth of browsing,Top-of-funnel user inflow and browsing behavior,Avg 5 pages viewed
Search usage rate,E-commerce,Discovery,% sessions using search,How well users find relevant products,45% sessions use search
Search-to-PDP rate,E-commerce,Discovery,% searches leading to product page,How well users find relevant products,55% search sessions open PDP
CTR on listings,E-commerce,Discovery,% impressions turning into clicks,How well users find relevant products,9% CTR from listings
Filter usage,E-commerce,Discovery,% users refining catalog,How well users find relevant products,30% users apply filters
Product view rate,E-commerce,Conversion Funnel,% users viewing product pages,Movement from browsing to purchase,70% users view ≥1 product
Add-to-cart rate,E-commerce,Conversion Funnel,% users adding item,Movement from browsing to purchase,30% add at least 1 item
Cart-to-checkout rate,E-commerce,Conversion Funnel,% carts that enter checkout,Movement from browsing to purchase,65% carts start checkout
Checkout start rate,E-commerce,Conversion Funnel,% users initiating checkout,Movement from browsing to purchase,20% start checkout
Payment success rate,E-commerce,Conversion Funnel,% checkout attempts that succeed,Movement from browsing to purchase,88% payments succeed
Conversion rate,E-commerce,Conversion Funnel,% completing purchase,Movement from browsing to purchase,8% users purchase
Funnel drop-off,E-commerce,Conversion Funnel,Loss at each step,Movement from browsing to purchase,50% drop at payment
GMV,E-commerce,Business Health,Total value of goods sold,Commercial performance of the marketplace,₹5Cr GMV/day
Revenue,E-commerce,Business Health,Platform earnings,Commercial performance of the marketplace,₹50L revenue/day
Take rate,E-commerce,Business Health,% cut from GMV,Commercial performance of the marketplace,10% take rate
AOV,E-commerce,Business Health,Avg order value,Commercial performance of the marketplace,"₹1,200/order"
Orders/user,E-commerce,Business Health,Purchase frequency,Commercial performance of the marketplace,2 orders/user/month
Gross margin,E-commerce,Business Health,Margin after direct costs,Commercial performance of the marketplace,28% gross margin
Repeat purchase rate,E-commerce,Retention & Loyalty,% returning buyers,Whether users come back and build habit,35% users reorder
Purchase frequency,E-commerce,Retention & Loyalty,Avg orders per buyer over time,Whether users come back and build habit,2.4 orders/month
Cohort retention,E-commerce,Retention & Loyalty,Users retained over time,Whether users come back and build habit,25% at Day 30
LTV,E-commerce,Retention & Loyalty,Lifetime value per user,Whether users come back and build habit,"₹4,800/user"
Catalog completeness,E-commerce,Catalog & Inventory,% listings with full info,Assortment quality and stock health,85% listings fully complete
Listing quality score,E-commerce,Catalog & Inventory,Quality of title/image/attributes,Assortment quality and stock health,Avg score 78/100
Inventory availability,E-commerce,Catalog & Inventory,% items in stock,Assortment quality and stock health,92% SKUs available
OOS rate,E-commerce,Catalog & Inventory,Out of stock %,Assortment quality and stock health,8% items unavailable
Stock freshness,E-commerce,Catalog & Inventory,How current inventory data is,Assortment quality and stock health,95% sync within 1 hour
Order fulfillment rate,E-commerce,Fulfillment & Delivery,% orders successfully fulfilled,Post-purchase execution quality,96% orders fulfilled
SLA adherence,E-commerce,Fulfillment & Delivery,On-time delivery %,Post-purchase execution quality,90% within SLA
Late delivery rate,E-commerce,Fulfillment & Delivery,% delivered after promised time,Post-purchase execution quality,12% delayed orders
Average delivery TAT,E-commerce,Fulfillment & Delivery,Avg time from order to delivery,Post-purchase execution quality,2.3 days
Return rate,E-commerce,Guardrails / CX,% returned orders,"Protecting trust, quality, and cost",18% returns
Refund rate,E-commerce,Guardrails / CX,% refunded orders,"Protecting trust, quality, and cost",12% refunds
NPS / CSAT,E-commerce,Guardrails / CX,Customer satisfaction,"Protecting trust, quality, and cost",CSAT 4.2/5
Complaint rate,E-commerce,Guardrails / CX,% orders generating complaints,"Protecting trust, quality, and cost",3% complaint rate
DAU,Quick Commerce,User Demand,Daily active users,Frequency and demand pattern of orders,80k DAU
Orders/user/week,Quick Commerce,User Demand,Frequency of orders,Frequency and demand pattern of orders,3 orders/user/week
Peak hour demand,Quick Commerce,User Demand,Order concentration by time slot,Frequency and demand pattern of orders,35% orders from 7-10 PM
